Ripuarian	Saterland Frisian	probability
ˈʊ	ˈʊ	1.0
ˈɛ_ʀ	r	1.0
ˈɔ	-	1.0
ˈøː	ˈɛɪ̯	1.0
ˈøʏ̯	ˈɛɪ̯	1.0
ˈy	ˈɔː	1.0
ˈu	ˈuː	1.0
ˈoː_d	ˈuː	1.0
ˈi	ˈɛː	1.0
ˈa_ŋ	ˈoːu̯_n	1.0
ʦ	t	1.0
ʋ	v	1.0
ʀ_ˈøː	r	1.0
ʀ	r	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɣ	ɣ_j	1.0
z̥	z	1.0
z	s	1.0
v	-	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
j	ɣ	1.0
h	h	1.0
e	i	1.0
d	d	1.0
b	b	1.0
d̥	d	0.929
n	n	0.909
s	t	0.879
ɡ̊	d	0.819
f	f	0.812
ə	ə	0.811
ɫ	l	0.809
ɐ	ə_r	0.777
v̥	ˈoː_f	0.658
ˈʏ	ˈuː	0.605
ˈɛː	-	0.594
ˈœ	ˈɛː	0.575
ˈeɪ̯	-	0.562
ʃ	s	0.562
ˈuː	ˈuː	0.558
ˈɔʊ̯	ˈoː	0.488
x	x_t	0.486
ŋ	ŋ	0.473
k	k	0.461
ˈɪ	ˈɪ	0.457
ˈe	ˈɪ	0.445
ˈuː	ˈoː	0.442
ˈaː	ˈɔː	0.44
ˈeɪ̯	ˈɛɪ̯	0.438
ʃ	s_k	0.438
ˈœ	ˈɔ	0.425
ɕ	x	0.396
ˈʏ	ˈœː	0.395
ˈo	ˈʊ	0.394
k	-	0.39
ˈoː	ˈoːu̯	0.387
ŋ	n	0.366
ˈyː	ˈeː	0.353
ˈyː	j_ˈuː	0.353
v̥	v	0.342
ˈɔʊ̯	-	0.341
ˈɛ	ˈiː	0.329
ˈeː	j_ˈoː	0.318
ˈaː	-	0.298
ˈyː	ˈuː	0.294
ˈiː	ˈi	0.291
ˈɪ	ˈiː	0.272
ˈɪ	ˈi	0.272
ˈɔː	ˈiː	0.272
x	-	0.264
ˈaː	ˈoː	0.261
ˈɛː	ˈi	0.252
x	x	0.25
ˈoː	ˈoː	0.247
ˈa	ˈoːu̯	0.231
ˈɔː	ˈʊ	0.23
ɐ	r	0.223
ˈeː	ˈeː	0.222
ˈa	ˈɔː	0.217
ˈeː	j	0.215
ˈɛ	ˈɛ	0.211
ˈiː	ˈeː	0.211
ˈiː	ə	0.202
ɕ	ˈʊ_x_t	0.202
ɕ	x_t	0.202
ɕ	k	0.2
ˈɔː	-	0.199
ɫ	l_ə	0.191
ˈe	ˈiː	0.19
f	p	0.188
ˈo	ˈoːu̯	0.185
ɡ̊	-	0.181
ˈɔʊ̯	ˈøː	0.171
ˈɛ	ˈɛː	0.17
ˈoː	ˈoːu̯_d	0.163
ˈo	-	0.162
ˈɛ	-	0.158
ˈɔː	ˈɛɪ̯	0.157
ˈɛː	ˈaːi̯	0.154
k	s	0.149
ˈiː	ˈiː	0.148
ˈiː	-	0.148
ˈɔː	ˈoːu̯	0.142
ˈo	ˈɔ	0.131
ˈo	ˈuː	0.129
ˈoː	ˈuː	0.124
ˈa	ˈɛ	0.122
ˈa	ˈɔ	0.122
s	s	0.121
ˈe	-	0.119
ˈa	ˈoː	0.117
ˈeː	-	0.113
ə	j_ə	0.103
ŋ	n_d	0.102
ˈe	ˈa	0.099
ˈe	j_ˈʊ	0.092
ˈa	-	0.091
ˈɛ	ˈeːu̯	0.086
ˈeː	ˈaː	0.086
ˈoː	-	0.079
d̥	-	0.071
ŋ	-	0.059
ˈe	ˈeː	0.055
ə	ɪ	0.051
