Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ	ˈɛ	1.0
ˈũ	ˈu	1.0
ˈi_#>	ˈe_#>	1.0
ˈi	ˈi	1.0
ˈe_j	ˈe	1.0
ˈe_h	ˈi_ɾ	1.0
ʧ	t	1.0
ʒ	ʃ	1.0
ʎ	ɟ	1.0
ʃ_u	ʃ_ʊ	1.0
ʃ_p	s_p	1.0
ʃ_k	s_k	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ɐ	ɾ_ɐ	1.0
ɾ_u	ɾ_ʊ	1.0
ɾ_i	ɾ_ɪ	1.0
ɾ	ɾ	1.0
ɦ_m	ɾ_m	1.0
ɦ	ɾ	1.0
ɐ_ʃ	ɐ_s	1.0
w̃	ŋ	1.0
w_#>	l_#>	1.0
ũ	e_m	1.0
s_ˈa	s_ˈa	1.0
s_u	s_ʊ	1.0
p_ɾ	p_ɾ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_i_#>	l_#>	1.0
l	l	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j_ʃ_#>	θ_#>	1.0
h_ʧ	ɾ_t	1.0
h_k	ɾ_k	1.0
f	f	1.0
ẽ_j̃	ɪ	1.0
ẽ	e_n	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ʃ	<#_ʧ	1.0
<#_h	<#_r	1.0
#>	ŋ_#>	1.0
ˈa	ˈa	0.961
t	t	0.952
ɐ	ɐ	0.937
ˈe	ˈe	0.935
h	ɾ	0.932
e	e	0.929
a	a	0.929
j	j	0.92
u	ʊ	0.916
ˈɔ	ˈɔ	0.9
j̃	ɲ	0.85
ˈõ	ˈo	0.8
ˈu	ˈu	0.789
ˈo	ˈo	0.786
o	o	0.778
i	ɪ	0.757
ʃ	s	0.714
ɐ̃	-	0.667
z	θ	0.625
ɡ	ɣ	0.621
w	w	0.6
ˈĩ	ˈi	0.583
ˈẽ	ˈe	0.583
d	ð	0.583
s	s	0.523
ʤ	ð	0.5
ʤ	d	0.5
v	b	0.488
b	β	0.467
b	b	0.467
v	β	0.465
s	θ	0.432
ˈẽ	ˈe_n	0.417
d	d	0.417
ˈɐ̃	ˈa	0.4
ɡ	ɡ	0.379
z	s	0.375
ɐ̃	ɑ	0.333
w	l	0.3
ˈĩ	ˈi_ŋ	0.25
ˈɐ̃	ˈɑ	0.24
ˈo	ˈɔ	0.214
ˈõ	ˈo_n	0.2
i	i	0.189
ˈĩ	ˈi_n	0.167
o	u	0.167
ˈɐ̃	ˈa_n	0.16
j̃	ŋ	0.15
ʃ	θ	0.143
ʃ	ʃ	0.143
ˈɐ̃	ˈɑ_ŋ	0.12
ˈu	ˈo_j	0.105
ˈu	ˈo	0.105
ˈɔ	ˈo	0.1
w	ʊ	0.1
ˈɐ̃	ˈo	0.08
j	w	0.08
e	-	0.071
a	-	0.071
h	r	0.068
b	m_b	0.067
ˈe	-	0.065
ɐ	a	0.063
o	ɔ	0.056
i	-	0.054
