Zeelandic	German	probability
ˈɒː	ˈa	1.0
ˈɑu̯	ˈa_l	1.0
ˈøː	ˈoː	1.0
ˈæi̯	ˈaɪ̯	1.0
ʋ	v	1.0
ɾ_ə	ɐ	1.0
ɫ_ə	l	1.0
ɫ	l	1.0
ɡ̊_#>	#>	1.0
ɡ̊	ç	1.0
ə_ɾ	ɐ	1.0
z̥	z_ə	1.0
x_t	x_t	1.0
x_#>	ɡ̊_#>	1.0
w_#>	#>	1.0
v̥	b̥	1.0
s_x	ʃ	1.0
p_ə	f_n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
f	f	1.0
b	b	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
ˈɪ	ˈɪ	0.857
v	f	0.852
ˈyː	ˈaʊ̯	0.846
ˈɑ	ˈa	0.818
ŋ	ŋ	0.818
z	z	0.8
x	ɡ	0.783
t_ə	s_n	0.714
ˈɪə̯	ˈaɪ̯	0.7
ˈæ	ˈɛ	0.667
ˈuː	ˈuː	0.667
ˈeː	ˈɛ	0.667
ˈi	ˈaɪ̯	0.615
ɾ	ɐ	0.61
x_ə	k_ə	0.6
ˈiː	ˈiː	0.588
s	ʃ	0.583
d	d	0.559
p	f	0.556
d̥	t	0.552
k	kʰ	0.519
ˈʏ	ˈʊ	0.5
ˈʏ	ˈɔ	0.5
ˈɛː	ˈaː	0.5
ˈu	ˈʊ	0.5
ˈu	ˈuː	0.5
k_ə	k_n	0.5
k_ə	k	0.5
ˈɔ	ˈɔ	0.471
d̥	d̥	0.448
ˈʊə̯	ˈoː	0.444
p	p͡f	0.444
ə	ə	0.423
s	s	0.417
ˈɔ	ˈʊ	0.412
x_ə	ɡ	0.4
t	ʦ	0.395
ɾ	ʁ	0.39
ˈi	ˈɪ	0.385
d	tʰ	0.382
t	t	0.368
ˈʊə̯	ˈaʊ̯	0.333
ˈuː	ˈyː	0.333
ˈeː	ˈeː	0.333
ˈɪə̯	ˈeː	0.3
ə	-	0.288
t_ə	s	0.286
k	ç	0.259
ə	n	0.25
t	s	0.237
ˈʊə̯	ˈɔ	0.222
z	ʃ	0.2
ˈɑ	ˈaː	0.182
ŋ	ɪ	0.182
ˈiː	ˈɔʏ̯	0.176
ˈæ	ˈɪ	0.167
ˈæ	ˈa	0.167
ˈyː	ˈɔʏ̯	0.154
v	b	0.148
k	x	0.148
ˈɪ	ˈʏ	0.143
ˈɛː	ˈɛː	0.136
ˈɛː	ˈeː	0.136
ˈɛː	ˈa	0.136
x	ç	0.13
ˈɔ	ˈʏ	0.118
ˈiː	ˈyː	0.118
ˈiː	ˈeː	0.118
ˈɛː	ˈoː	0.091
x	x	0.087
k	k	0.074
d	t	0.059
