Sixian	Sixian	probability
⁵⁵	²¹³	1.0
⁵	²¹	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʦ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɨ	z̩	1.0
ɕ	ɕ	1.0
ŋ̍	y	1.0
¹¹	²¹	1.0
²	²¹	1.0
w	w	1.0
u_t̚	u	1.0
u_k̚	u	1.0
t̚	-	1.0
p̚	-	1.0
pʰ	pʰ	1.0
o_k̚	o	1.0
n	n	1.0
l_j	n	1.0
l	n	1.0
a_k̚	ɛ	1.0
<#_ɲ	<#	1.0
<#_v	<#_w	1.0
<#_o	<#_ŋ_a	1.0
#>	²¹_#>	1.0
ŋ	ŋ	0.905
²⁴	⁵⁵	0.892
³¹	⁵³	0.8
a	a	0.8
s	s	0.733
o	a	0.731
e_t̚	ɛ	0.714
tʰ	tʰ	0.667
j	j	0.643
p	p	0.625
ɲ	z	0.6
kʰ	kʰ	0.6
k	ʨ	0.6
f	f	0.6
m	n	0.545
i	i	0.522
t	ʦ	0.5
t	t	0.5
a_ŋ	ə_n	0.5
a_ŋ	i_n	0.5
e	a	0.462
m	m	0.455
h	x	0.455
ɲ	nʲ	0.4
kʰ	ʨʰ	0.4
k	k	0.4
f	x	0.4
p	f	0.375
u	o	0.348
tʰ	t	0.333
e	ə	0.308
u	ə	0.304
e_t̚	e	0.286
u	u	0.261
e	ɛ	0.231
³¹	w_⁵³	0.2
h	ʨʰ	0.182
h	ɕ	0.182
h	kʰ	0.182
j	ɥ	0.179
i	z̩	0.174
o	w_a	0.154
s	ɕ_j	0.133
s	-	0.133
i	-	0.13
o	o	0.115
²⁴	⁵³	0.108
j	-	0.107
a	ɛ	0.1
a	j_a	0.1
ŋ	-	0.095
u	ə_w	0.087
i	ɚ	0.087
i	y	0.087
j	i	0.071
