Polish	Ukrainian	probability
ˈɨ	ˈɪ	1.0
ˈɛ_w̃	ɐ	1.0
ˈɔ_d	ɔ_d	1.0
ˈi	ˈɪ	1.0
ʦ	ʦ	1.0
ʥ	d	1.0
ʑ	z_ɛ	1.0
ʈ͡ʂ	ʧ	1.0
ɲ_ʨ	tʲ	1.0
ɲ_#>	nʲ_#>	1.0
ɲ	n	1.0
ɡ	ɦ	1.0
ɛ_ɲ	ɐ	1.0
ɛ_w̃	ˈɑ	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	ɔ	1.0
z	z	1.0
x	x	1.0
w_#>	ɫ_#>	1.0
v_j	ʋʲ	1.0
s_#>	s_#>	1.0
s	s	1.0
p_#>	b_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	lʲ_#>	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈa	i	1.0
<#_t	<#_t	1.0
<#_n	<#_nʲ	1.0
<#_j	<#	1.0
<#	<#_w	1.0
r	r	0.909
t	t	0.833
p	p	0.818
d	d	0.818
k	k	0.769
l	lʲ	0.667
i	j	0.667
b	b	0.667
a	ˈɑ	0.667
w	ɫ	0.647
v	ʋ	0.643
ˈa	ˈi	0.611
ʐ	r	0.6
t_#>	t_#>	0.6
j	j	0.583
ʨ	tʲ	0.562
ɕ	sʲ	0.556
n	n	0.556
ɨ	e_j	0.533
ʂ	ʃ	0.5
ʂ	r	0.5
f	ʋ	0.5
f	w	0.5
ɨ	j	0.467
ɕ	s	0.444
n	n_e	0.444
ʐ	ʒ	0.4
ɛ	ɛ	0.4
t_#>	d_#>	0.4
ˈu	ˈi	0.385
ˈɔ	ˈɔ	0.333
l	ɫ	0.333
i	ˈɪ_j	0.333
b	bʲ	0.333
a	ɐ	0.333
ˈu	ˈɔ	0.308
ɛ	ˈɔ	0.3
ɛ	i	0.3
ˈɛ	ˈɛ	0.286
ˈɔ	ˈi	0.267
ʨ	t_e	0.25
j	-	0.25
ˈɛ	ˈi	0.238
ˈɛ	-	0.238
ˈɔ	ɔ	0.233
ˈa	ˈɑ	0.222
v	w	0.214
ʨ	t	0.188
p	pʲ	0.182
d	-	0.182
w	ɔ_ɫ	0.176
w	-	0.176
ˈa	ɐ	0.167
t	d	0.167
j	ʋʲ	0.167
ˈu	ˈu	0.154
ˈu	ɔ	0.154
k	ɦ	0.154
ˈɛ	ˈɔ	0.143
v	ʋʲ	0.143
ˈɔ	ˈu	0.1
ˈɛ	ɛ	0.095
r	rʲ	0.091
k	kʲ	0.077
ˈɔ	-	0.067
