Ukrainian	Slovenian	probability
<#_bʲ	<#_b	1.0
<#_d	<#_d	1.0
<#_i	<#	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_kʲ	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_nʲ	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_rʲ	<#_r	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_s	1.0
<#_t	<#_t	1.0
<#_tʲ	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_zʲ	<#_z	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʋ	<#_ʋ	1.0
<#_ʋʲ	<#_ʋ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
b	b	1.0
b_#>	p_#>	1.0
d_#>	t_#>	1.0
e_#>	i_#>	1.0
j	-	1.0
j_#>	#>	1.0
j_ˈɑ	éː	1.0
k	k	1.0
k_#>	k_#>	1.0
k_ˈɪ	ə_k	1.0
lʲ	l	1.0
lʲ_#>	w	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
n_e	n	1.0
nʲ_#>	n_#>	1.0
p	p	1.0
pʲ	p	1.0
r_#>	r_#>	1.0
r_e	ə_r	1.0
r_ˈɔ	r_àː	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	s_ə	1.0
t	t	1.0
t_#>	t_#>	1.0
tʲ_#>	t_#>	1.0
w	ʋ	1.0
x	x	1.0
z	z	1.0
ɐ_#>	a_#>	1.0
ɔ_ɫ	l	1.0
ɛ_#>	éː_#>	1.0
ɦ_#>	k_#>	1.0
ɪ_#>	i_#>	1.0
ɫ_#>	w_#>	1.0
ɫ_e	w_#>	1.0
ɫ_ˈɛ	l_ɛ́	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	<#	1.0
ˈu	óː	1.0
ˈɑ_#>	a_#>	1.0
ˈɔ_#>	ɔ_#>	1.0
ˈɔ_r	r	1.0
ˈɔ_ʋ	ɔ́ː_w	1.0
ˈɔ_ʍ	ɔ́ː_w	1.0
ˈi	ɔ́	0.091
e	ə	0.222
ɛ	ɛ̀ː	0.333
ɫ	l	0.833
ˈɑ	a	0.333
ˈɛ	e	0.333
ˈɪ	-	0.133
ˈɪ	ìː	0.333
<#_w	<#	0.4
i	éː	0.4
r	r	0.824
ɔ	áː	0.154
ɔ	ʃ	0.154
ɦ	-	0.4
ˈi	éː	0.364
d	d_ə	0.25
d	d	0.75
ɐ	àː	0.5
ɐ	éː	0.5
ɔ	ɔ̀ː	0.385
ɔ_#>	óː_#>	0.5
ɔ_#>	ɔ_#>	0.5
ʋʲ_ˈi	ʋ_éː	0.5
ʋʲ_ˈi	ʋ	0.5
ˈɔ	-	0.25
ˈɔ	óː	0.25
<#_w	<#_ʋ	0.6
i	èː	0.6
r	r_j	0.176
ɦ	ɡ	0.6
ɛ	ɛ	0.667
ɫ	-	0.167
ˈi	èː	0.227
ˈɑ	àː	0.667
ˈɔ	ə	0.167
ˈɔ	o	0.167
ˈɔ	ɔ	0.167
ˈɛ	ə́	0.667
ˈɪ	íː	0.267
ˈɪ	i	0.267
e	-	0.778
ɔ	-	0.308
ˈi	óː	0.318
