Insular North Frisian	East Low German	probability
ˈɪ_ɾ	ˈiː_t	1.0
ˈoː	ˈaʊ̯	1.0
ˈaː_r	ˈaː	1.0
ˈa_x	ˈaː	1.0
ˈa	ˈa	1.0
ʃ	z	1.0
ə_f	m	1.0
ə_#>	n_#>	1.0
ə	-	1.0
ɐ	æ	1.0
x_t	t	1.0
t_#>	#>	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_ə	æ	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈɔː	<#_ˈa	1.0
#>	n_#>	1.0
t	t	0.921
d	d	0.9
v	v	0.875
ŋ	ŋ	0.846
ç	ç	0.833
ɡ	ɡ	0.727
ˈɔa̯	ˈaʊ̯	0.667
ɪ	ɪ	0.667
x	x	0.636
ˈɔː	ˈɒː	0.6
j	-	0.6
ˈɪ	ˈɪ	0.579
ˈʏ	ˈuː	0.562
ˈuː	ˈuː	0.556
tʰ	tʰ	0.529
s	z	0.5
nʲ	n_d	0.5
nʲ	n	0.5
tʰ	d	0.471
ˈiː	ˈae̯	0.438
ˈyː	ˈuː	0.429
ˈɪ	ˈiː	0.421
j	j	0.4
ˈeː	ˈae̯	0.385
ˈɔ	ˈɔ	0.375
ˈɔ	ˈaʊ̯	0.375
ɾ	t	0.35
ˈɔa̯	ˈa	0.333
ɪ	-	0.333
ˈɛ	ˈɪ	0.321
ˈʊ	ˈʊ	0.312
ˈiː	ˈiː	0.312
s	ʃ	0.312
ɾ	ɾ	0.3
ˈyː	ˈyː	0.286
ˈyː	n	0.286
ˈœ	ˈʏ	0.273
ɡ	j	0.273
ˈʊ	ˈɪ	0.25
ˈɔ	ˈɛ	0.25
ɾ	d	0.25
ˈuː	ˈɒː	0.222
ˈuː	ˈaʊ̯	0.222
ˈɔː	ˈɔ	0.2
ˈɔː	ˈoː	0.2
ˈʏ	ˈʊ	0.188
ˈʊ	ˈaʊ̯	0.188
s	s	0.188
ˈœ	ˈʊ	0.182
ˈœ	ˈɔ	0.182
ˈœ	ˈaʊ̯	0.182
ˈœ	ˈa	0.182
x	ç	0.182
x	-	0.182
ˈɛ	ˈʏ	0.179
ˈɛ	ˈae̯	0.179
ç	ɡ	0.167
ˈeː	ˈɛː	0.154
ˈeː	ˈɔʏ̯	0.154
ˈeː	ˈɒː	0.154
ˈeː	ˈa	0.154
ŋ	ç	0.154
ˈɛ	ˈɛ	0.143
ˈʏ	ˈiː	0.125
ˈʏ	ˈa	0.125
ˈʊ	ˈɒː	0.125
ˈʊ	ˈa	0.125
ˈiː	ˈɛː	0.125
ˈiː	ŋ	0.125
v	w	0.125
ˈɛ	ˈɔʏ̯	0.107
ɾ	n	0.1
d	t	0.1
t	d	0.079
ˈɛ	ˈɛː	0.071
