Standard German	Yiddish	probability
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛ	1.0
ˈɔʏ̯	ˈaɪ̯	1.0
ˈɔ_m	ˈʊ_m	1.0
ˈœ	ˈɛ	1.0
ˈøː	ˈɛ	1.0
ˈyː	ˈɪ	1.0
ˈuː	ˈʊ	1.0
ˈiː_ɐ	ˈɪ_ʀ	1.0
ˈiː	ˈɪ	1.0
ˈaʊ̯	ˈɔɪ̯	1.0
ʦ	ʦ	1.0
ʁ	ʀ	1.0
ɪ	ɪ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
z̥	z	1.0
z	z	1.0
x	χ	1.0
v	v	1.0
tʰ	t	1.0
t	t	1.0
s	s	1.0
p͡f	p	1.0
p	p	1.0
n_ˈaː	n_ˈɔ	1.0
n	n	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b̥_#>	b_#>	1.0
b	b	1.0
<#_ʁ	<#_ʀ	1.0
#>	ɡ_#>	1.0
ʃ	ʃ	0.929
ˈa	ˈa	0.914
ˈɛ	ˈɛ	0.895
ˈaː	ˈɔ	0.857
ˈoː	ˈɔɪ̯	0.818
k	k	0.818
ˈɔ	ˈɔ	0.8
ŋ	ŋ	0.8
ˈeː	ˈɛ	0.778
ə	-	0.75
ç	χ	0.75
d̥	d	0.667
ə_n	ə_n	0.556
ɐ	ə_ʀ	0.533
ˈaɪ̯	ˈaɪ̯	0.519
ˈaɪ̯	ˈɛɪ̯	0.481
ə_n	n	0.444
ɐ	ʀ	0.378
d̥	t	0.333
ç	k	0.25
ˈeː	ˈɛɪ̯	0.222
ˈɔ	ˈʊ	0.2
ŋ	ŋ_ɡ	0.2
ˈoː	ˈɔ	0.182
k	k_ə	0.182
ˈaː	ˈa	0.143
ə	ɡ	0.107
ˈɛ	ˈa	0.105
ˈa	ˈɔ	0.086
ʃ	ʧ	0.071
ə	ə	0.071
ə	n	0.071
