Westphalian	Gothic	probability
ˈʏ	-	1.0
ˈɪɛ̯	-	1.0
ˈɪə̯	ˈi	1.0
ˈɛː	ˈɛ_r	1.0
ˈɔ	ˈa	1.0
ˈøː	-	1.0
ˈø	ˈi	1.0
ˈyː	-	1.0
ˈuː	ˈuː	1.0
ˈuə̯	-	1.0
ˈoː	ˈoː	1.0
ˈiɛ̯	-	1.0
ˈeː	ˈɛː	1.0
ˈaː	ˈa	1.0
ˈa	ˈa	1.0
ɪ	-	1.0
ɣ	-	1.0
ə_#>	a_#>	1.0
ə	oː	1.0
ɐ_#>	#>	1.0
ç	-	1.0
z	-	1.0
s	s	1.0
r	r	1.0
p	p	1.0
nː	a	1.0
m	m	1.0
k	k	1.0
j	j	1.0
h	h	1.0
<#_ˈuː	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_s	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_θ	1.0
<#	<#_h	1.0
n	n	0.959
l	l	0.897
f	f	0.857
b	b	0.857
ˈʊ	ˈu	0.8
ˈɪ	ˈi	0.789
t	t	0.783
#>	s_#>	0.746
d	d	0.727
ˈɔː	ˈeː	0.714
ʋ	w	0.714
ʃ	s_k	0.714
ŋ	ŋ	0.714
x	h	0.714
ˈɛ	ˈa	0.6
ˈuːə̯	ˈu	0.6
ˈiː	ˈiː	0.583
ˈaʊ̯	ˈɔː	0.556
ˈaɪ̯	ˈiu̯	0.556
v	w	0.545
ɡ	ɣ_a	0.5
ɡ	ɡ	0.5
ˈaɪ̯	-	0.444
ˈɛ	ˈɛ_h	0.4
ˈuːə̯	ˈɔ_r	0.4
ɐ	r	0.364
ɐ	a_r	0.318
ˈɔː	ˈa	0.286
ʋ	b	0.286
ʃ	s	0.286
ŋ	ŋ_ɡ	0.286
x	ɡ	0.286
d	ð	0.273
ˈiː	s	0.25
d̥	θ_s	0.238
d̥	θ	0.238
ɐ	a	0.227
ˈaʊ̯	ˈɔ	0.222
ˈaʊ̯	-	0.222
ˈʊ	ˈuː	0.2
d̥	d	0.19
ˈiː	-	0.167
f	f_ˈi	0.143
d̥	d_s	0.143
b	-	0.143
t	t_a	0.13
ˈɪ	ˈiː	0.105
ˈɪ	ˈi_n	0.105
l	lː	0.103
d̥	θ_iː	0.095
d̥	t	0.095
ɐ	r_u	0.091
v	β_a	0.091
v	β	0.091
v	ʍ	0.091
v	f_s	0.091
v	f	0.091
t	s	0.087
#>	n_#>	0.085
#>	oː_#>	0.068
#>	ɡ_s_#>	0.051
#>	a_#>	0.051
