Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈɪ	ˈɪ	1.0
ˈøː_t	ˈœ_tː	1.0
ˈøː	ˈøː	1.0
ˈæː	ˈæː	1.0
ˈæʉ̯	ˈøː	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈeː_ɡ	ˈæɪ̯	1.0
ʰpː	pː	1.0
ʰkː	kː	1.0
ʉ	d_ə	1.0
ɾ_n	ɳ	1.0
ɾ_e	ɾ_ə	1.0
ɲ	ŋː	1.0
ɪ	ɪ	1.0
ɡː	ɡː	1.0
ɛ	-	1.0
ɑ_#>	#>	1.0
ɑ	ə	1.0
ŋː	ŋː	1.0
ŋ	ŋ	1.0
çː	-	1.0
ç_ɑ	k_ə	1.0
v	-	1.0
tː	tː	1.0
tʰ	tʰ	1.0
sː	sː	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
lː	lː	1.0
l_ʋ	lː	1.0
kʰ_ʋ	ʋ	1.0
kʰ	kʰ	1.0
jː	ɡː	1.0
h	h	1.0
f	f	1.0
e_ɾ	ə_ɾ	1.0
e	ə	1.0
d	d	1.0
b	b	1.0
s	s	0.961
l	l	0.947
n	n	0.946
ʋ	ʋ	0.931
ɾ	ɾ	0.91
k	k	0.895
ˈɑː	ˈɑː	0.846
ˈɑ	ˈɑ	0.846
t	t	0.828
ˈʉː	ˈʉː	0.818
ˈɛ	ˈɛ	0.81
ˈʉ	ˈʉ	0.778
ʰtː	tː	0.778
ç	ç	0.778
m	m	0.778
ˈeː	ˈeː	0.75
ˈʏ	ˈʏ	0.692
ˈœʏ̯	ˈøː	0.667
ə	ə	0.667
ˈɔ	ˈɔ	0.636
ɡ	ɡ	0.615
ʂ	ʂ	0.6
ˈæɪ̯	ˈæɪ̯	0.583
j	j	0.529
ˈʊ	ˈuː	0.5
ˈʊ	-	0.5
ˈœ	ˈœ	0.5
ˈœ	-	0.5
j	-	0.353
ˈœʏ̯	ˈœʏ̯	0.333
ə	-	0.333
ˈʏ	ˈœ	0.308
ˈæɪ̯	ˈɛ	0.25
ˈeː	-	0.25
ˈʉ	-	0.222
ʰtː	-	0.222
ç	-	0.222
ʂ	s_k	0.2
ʂ	s	0.2
ˈʉː	ˈyː	0.182
ˈɔ	ˈʊ	0.182
ˈɔ	ˈɑ	0.182
ˈæɪ̯	ˈeː	0.167
ˈɑː	-	0.154
ˈɑ	-	0.154
ɡ	-	0.154
m	mː	0.148
j	l	0.118
k	-	0.105
ˈɛ	ˈɪ	0.095
ˈɛ	-	0.095
ɡ	ˈæɪ̯	0.077
ɡ	j	0.077
ɡ	i	0.077
m	ʋ	0.074
ʋ	-	0.069
t	ʈ	0.069
t	-	0.069
ɾ	-	0.06
n	nː	0.054
l	lː	0.053
