Zeelandic	Zeelandic	probability
ˈɒː	ˈɒ	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈæi̯	ˈaː	1.0
ˈiːə̯	ˈiː	1.0
ɾ_ə	ɐ	1.0
ɫ	l	1.0
ɪ_ŋ	i	1.0
ə_ɾ	ɐ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x_ˈæ	ˈa	1.0
x_ə_#>	ɡ̊_#>	1.0
x_ə	ŋ	1.0
x_t	x_d̥	1.0
w	-	1.0
v̥_#>	b̥_#>	1.0
v̥	f_a	1.0
t_#>	s_#>	1.0
s_x	ʃ	1.0
s_#>	ʃ_#>	1.0
p_#>	f_#>	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_#>	#>	1.0
j	j	1.0
iː	eː	1.0
i_ŋ	ɪ	1.0
d̥	d̥	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈɛː	<#_ˈɒ	1.0
<#_ɾ	<#_r	1.0
<#_x	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
v	f	0.875
ʋ	v	0.826
n	n	0.786
s	ʃ	0.778
ˈiː	ˈiː	0.75
ˈɑ	ˈɒ	0.727
s_t	ʃ_d̥	0.714
z	s	0.708
ˈyː	ˈaʊ̯	0.667
k	ɡ̊	0.621
ˈɛː	ˈoː	0.619
ˈi	ˈaɪ̯	0.615
ɾ	ɐ	0.605
ˈøː	ˈoː	0.6
ˈuː	ˈuː	0.6
ˈɪ	ˈɪ	0.588
ˈæ	ˈɛ	0.571
ˈeː	ˈɛ	0.571
ˈɪə̯	ˈaː	0.545
ˈu	ˈʊ	0.5
ˈu	ˈuː	0.5
p	b̥͡v̥	0.5
ə	-	0.467
ˈɔ	ˈʊ	0.45
ˈæ	-	0.429
ˈeː	-	0.429
ˈɔ	ˈɔ	0.4
ˈøː	ˈʊ	0.4
ˈuː	ˈiː	0.4
ɾ	r	0.395
ˈi	ˈɪ	0.385
ˈʏ	ˈʊ	0.375
ˈʏ	-	0.375
ˈʊə̯	ˈuː	0.368
x	ç	0.357
x	x	0.357
ə	n	0.333
ˈʊə̯	ˈaː	0.316
ˈɪ	ˈiː	0.294
x	ɡ̊	0.286
t	ʦ	0.286
t	z̥	0.286
t	d̥	0.286
s_t	s_d̥	0.286
ˈɪə̯	-	0.273
ˈʏ	ˈɛ	0.25
ˈiː	ˈaɪ̯	0.25
p	v̥	0.25
p	f	0.25
k	ç	0.241
s	ɡ̊_s	0.222
n	-	0.214
ˈʊə̯	ˈɔ	0.211
z	ʃ	0.208
ˈyː	ˈaɪ̯	0.2
ˈɪə̯	ˈeː	0.182
ˈɑ	ˈoː	0.182
ʋ	v_ˈɔ	0.174
ə	a	0.167
ˈɔ	-	0.15
ˈɛː	ˈɛ	0.143
k	x	0.138
ˈyː	m	0.133
v	β	0.125
ˈɪ	ˈaɪ̯	0.118
ˈʊə̯	ˈɘ	0.105
ˈɛː	ˈeː	0.095
ˈɛː	-	0.095
t	s	0.095
ˈɑ	ˈɛ	0.091
z	-	0.083
