Upper Franconian	Upper Franconian	probability
β	b	1.0
ˈʊ_m	ˈɔ_m	1.0
ˈʊ	ˈʊ	1.0
ˈɛː	ˈɛː	1.0
ˈɘ	-	1.0
ˈɒː	ˈa	1.0
ˈoː_n	ˈoː_n	1.0
ˈoː	ˈaː	1.0
ˈaː_#>	ˈaɪ̯_n_#>	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯_d̥	ˈaɪ̯_t	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʃ_d̥	s_t	1.0
ʃ	ʃ	1.0
ɣ̊	x	1.0
ɡ̊_n	k_n	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ɐ_n	ɐ_n	1.0
ɐ_d̥	ɐ_t	1.0
z̥	s	1.0
v̥	f	1.0
v	v	1.0
t	t	1.0
s_d̥	s_t	1.0
r	ʁ	1.0
l_d̥	l_t	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d̥_l	d_l	1.0
b̥͡v̥	p͡f	1.0
#>	n_#>	1.0
ɐ	ɐ	0.957
ˈɒ	ˈa	0.933
ˈɛ	ˈɛ	0.913
m	m	0.879
n	n	0.857
ˈɔ	ˈɔ	0.789
ç	ç	0.786
ˈɪ	ˈɪ	0.769
ˈeː	ˈeː	0.727
b̥	b	0.708
ˈaɪ̯	ˈaɪ̯	0.636
ɾ	t	0.6
x	x	0.6
ˈuː	ˈuː	0.571
ˈaː	ˈaɪ̯	0.556
ŋ	ŋ	0.529
s	z	0.523
ˈiː	ˈiː	0.517
ŋ	ɡ_n	0.471
ˈaː	ˈaʊ̯	0.444
ˈuː	ˈoː	0.429
a	ə	0.421
ɡ̊	kʰ	0.412
ɾ	d	0.4
a	ə_n	0.368
ˈaɪ̯	ˈɔʏ̯	0.364
ɡ̊	ɡ	0.353
d̥	t	0.338
b̥	b̥	0.292
ˈeː	ˈøː	0.273
s	s	0.273
ɡ̊	k	0.235
ˈɪ	ˈʏ	0.231
d̥	tʰ	0.23
d̥	d̥	0.216
d̥	d	0.216
ç	ɡ̊	0.214
ˈiː	ˈɪ	0.172
ˈiː	ˈyː	0.172
s	z̥	0.159
a	-	0.158
x	ɡ̊	0.133
x	ɡ	0.133
x	-	0.133
m	b_n	0.121
ˈɔ	ˈa	0.105
ˈɔ	-	0.105
n	ə	0.1
ˈɛ	ˈœ	0.087
ˈiː	ˈeː_ə	0.069
ˈiː	ˈeː	0.069
ˈɒ	ˈaʊ̯	0.067
a	a	0.053
