Proto-Germanic	North Frisian	probability
ˈɑi̯_w	ˈiː	1.0
ˈɑ_n	ˈœ	1.0
ˈɑ_l	ˈuː_l	1.0
ˈu_ŋ	ˈʊ	1.0
ˈu_n	ˈyː	1.0
ˈiː	ˈi	1.0
ˈiu̯	ˈʏ	1.0
ˈeu̯	ˈiː	1.0
ɸ_#>	n_#>	1.0
ɸ	f	1.0
ɣ_ɑ_z_#>	#>	1.0
ɣ_j	d	1.0
ɡ	ŋ	1.0
ɛː	ə	1.0
ɔ̃ː	-	1.0
ɔːː_#>	#>	1.0
ɔːː	ə	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ə	1.0
ɑ	ə	1.0
ð_ɑ	dʲ	1.0
ð_i	d	1.0
z_#>	#>	1.0
z	r	1.0
x_l	l	1.0
w	v	1.0
s_w	s	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
s	s	1.0
r_ˈiː	r_ˈiː	1.0
r_ɑ	ə_r	1.0
r_n	r_n	1.0
r_#>	r_#>	1.0
p	p	1.0
nː	n	1.0
n_ɑ̃_#>	#>	1.0
n_d	n	1.0
m	m	1.0
lː	l	1.0
l_d	lʲ	1.0
kʷ	k	1.0
k	k	1.0
j_ɑ	ə	1.0
d_ɑ	n	1.0
b	b	1.0
<#_θ	<#_t	1.0
<#_ˈɑ	<#	1.0
<#_ˈu	<#_ˈɔu̯	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
l	l	0.882
<#_d	<#_d	0.875
r	r	0.87
i	-	0.867
t	t	0.865
ˈɑi̯	ˈiː	0.818
u	-	0.786
<#_w	<#_v	0.778
j	-	0.75
ð	d	0.727
<#_l	<#_l	0.727
t_ɑ	tʲ	0.714
ˈɛː	ˈɛi̯	0.667
ˈuː	ˈyː	0.643
n	n	0.622
β_ɑ	ə_v	0.6
ɔː	-	0.6
xʷ	v	0.6
d	nʲ	0.6
x	h	0.59
β	v	0.5
β	f	0.5
l_ɑ	ə_l	0.5
l_ɑ	l	0.5
e	ə	0.5
e	-	0.5
ˈɑu̯	ˈuː	0.471
ˈɔː	ˈœ	0.455
θ	d	0.429
θ	-	0.429
ɣ	ɡ	0.407
β_ɑ	v	0.4
ɔː	ə	0.4
xʷ	ˈiː	0.4
d	n	0.4
ɣ	j	0.37
ˈɔː	ˈɛ	0.364
ˈuː	ˈøː	0.357
ˈɛː	ˈɔu̯	0.333
ˈi	ˈi	0.333
ŋ	ˈʊ	0.333
ŋ	ŋ	0.333
ŋ	i	0.333
ˈɑu̯	ˈyː	0.294
ˈi	ˈa	0.286
t_ɑ	z	0.286
ð	-	0.273
<#_l	<#	0.273
ˈe	ˈeː	0.263
j	j	0.25
n	ə	0.243
ˈi	-	0.238
ˈɑu̯	ˈiː	0.235
ˈɑ	ˈɒː	0.233
x	x	0.231
ˈu	ˈɔ	0.226
<#_w	<#	0.222
u	ə	0.214
ˈɑ	ˈɒ	0.209
ˈu	ˈʊ	0.194
ˈu	ˈɔː	0.194
ˈɔː	ˈœi̯	0.182
ˈɑi̯	ˈɒ	0.182
ˈe	ˈɛː	0.158
ˈe	ˈi	0.158
θ	tʲ	0.143
ˈi	ˈaː	0.143
ˈɑ	ˈeː	0.14
ˈɑ	ˈa	0.14
r	ə_r	0.13
x	-	0.128
<#_d	<#	0.125
l	lʲ	0.118
ˈe	ˈʊ	0.105
ˈe	ˈɔː	0.105
ˈe	j_ˈa	0.105
ˈe	-	0.105
ˈu	ˈœ	0.097
ˈu	-	0.097
ˈɑ	ˈɔː	0.093
t	tʲ	0.081
n	-	0.081
ɣ	w	0.074
ɣ	i	0.074
ɣ	-	0.074
ˈɑ	ˈœ	0.07
ˈɑ	ˈuː	0.07
i	ə	0.067
i	v_ə	0.067
ˈu	ˈʏ	0.065
ˈu	ˈeː	0.065
ˈu	ˈa	0.065
t	d	0.054
n	nʲ	0.054
x	k	0.051
