Danish	West Flemish	probability
b̥	b	0.87
b̥	p	0.13
d̥	d	1.0
e	-	0.5
e	m	0.5
f	v	0.976
h	z	0.793
h	k	0.207
i	ə	1.0
j	-	0.378
j	k	0.32
j	h	0.302
jˀ	ɦ	0.841
jˀ	ə	0.159
k	h	0.519
k	k	0.362
k	-	0.119
kʰ	k	0.89
kʰ	v	0.068
l	l	0.886
l	w	0.069
lˀ	w	0.585
lˀ	t	0.147
lˀ	ɾ	0.121
lˀ	l	0.084
lˀ	ˈu	0.064
m	m	0.86
m	ɾ_m	0.14
mˀ	m	0.535
mˀ	v	0.465
n	n	0.794
n	-	0.144
n	n_d	0.063
nˀ	n	0.885
nˀ	t	0.115
p	p	1.0
pʰ	p	1.0
s	z	0.412
s	s	0.383
s	ʃ	0.092
s	ɾ_s	0.064
t	t	0.621
t	h_t	0.333
w	v	0.28
w	-	0.26
w	f	0.258
w	t	0.136
w	ˈɒː	0.066
wˀ	m	0.831
wˀ	v	0.169
ð̞ˠ	t	0.877
ð̞ˠ	ɾ	0.056
ð̞ˠ	-	0.055
ŋ	ŋ	0.708
ŋ	n	0.157
ŋ	-	0.135
ŋˀ	ŋ	1.0
ɐ	ɾ	0.87
ɐ	-	0.13
ɐˀ	ɾ	1.0
ə	ə	0.368
ə	n	0.313
ə	-	0.198
ɡ̊	ɦ	0.892
ɡ̊	h	0.057
ʁ	ɾ	0.803
ʁ	-	0.147
ʋ	ʋ	0.932
ʦʰ	d	0.59
ʦʰ	t	0.222
ʦʰ	t_ʋ	0.117
ʦʰ	-	0.072
ʨ	d	1.0
ˈa	ˈɑ	0.715
ˈa	ˈɒː	0.221
ˈa	ˈæ	0.064
ˈaː	ˈɒː	1.0
ˈe	ˈɪ	0.753
ˈe	ˈɛ	0.09
ˈe	ˈæ	0.067
ˈe	-	0.06
ˈeˀ	ˈɛː	0.613
ˈeˀ	ˈiə̯	0.092
ˈeˀ	ˈɑ	0.092
ˈeˀ	ˈeː	0.063
ˈeˀ	ˈoː	0.06
ˈeː	ˈɑ	0.643
ˈeː	ˈiə̯	0.357
ˈi	ˈi	0.479
ˈi	ˈiə̯	0.261
ˈi	ˈæ	0.259
ˈiˀ	ˈi	0.506
ˈiˀ	ˈeː	0.332
ˈiˀ	ˈɛ	0.072
ˈiˀ	ˈiə̯	0.065
ˈiː	ˈi	0.712
ˈiː	ˈɛ	0.236
ˈiː	ˈiə̯	0.051
ˈo	ˈoː	0.802
ˈo	ˈuə̯	0.12
ˈo	ʋ	0.077
ˈoˀ	ˈuə̯	0.743
ˈoˀ	ˈɛː	0.184
ˈoˀ	ˈøː	0.074
ˈoː	ˈoː	0.341
ˈoː	ˈɑ	0.257
ˈoː	ˈuə̯	0.213
ˈoː	ˈu	0.153
ˈu	ˈu	0.717
ˈu	ˈœ	0.161
ˈu	ˈɔ	0.123
ˈuˀ	ˈyː	0.713
ˈuˀ	ˈeː	0.224
ˈuˀ	ˈøː	0.062
ˈuː	ˈyː	0.458
ˈuː	ˈeː	0.256
ˈuː	ˈiə̯	0.179
ˈuː	ˈoː	0.107
ˈy	ˈiə̯	0.374
ˈy	ˈyː	0.374
ˈy	ˈœ	0.252
ˈyˀ	ˈiə̯	0.586
ˈyˀ	ˈeː	0.207
ˈyˀ	ˈœ	0.207
ˈyː	ˈiə̯	1.0
ˈæ	ˈæ	1.0
ˈæˀ	ˈɑ	1.0
ˈæː	ˈɒː	1.0
ˈø	ˈɪ	1.0
ˈøː	ˈuə̯	0.716
ˈøː	ˈoː	0.284
ˈœ	ˈœ	0.296
ˈœ	ˈɔ	0.22
ˈœ	ˈøː	0.197
ˈœ	ˈæ	0.122
ˈœ	ˈuə̯	0.07
ˈœ	ˈɪ	0.069
ˈœˀ	ˈoː	0.8
ˈœˀ	ˈuə̯	0.2
ˈɑ	ˈɑ	0.471
ˈɑ	ˈeː	0.177
ˈɑ	ə	0.164
ˈɑ	ˈɒː	0.114
ˈɑ	ˈiə̯	0.053
ˈɑˀ	ˈɑ	0.548
ˈɑˀ	ˈɒː	0.358
ˈɑˀ	ˈæ	0.094
ˈɑː	ˈɒː	1.0
ˈɒ	ˈoː	1.0
ˈɒˀ	ˈɒː	1.0
ˈɒː	l	0.5
ˈɒː	ˈɔ	0.5
ˈɔ	ˈu	0.77
ˈɔ	ˈɔ	0.23
ˈɔˀ	ˈɔ	0.398
ˈɔˀ	ˈɒː	0.336
ˈɔˀ	ˈɑ	0.152
ˈɔˀ	ˈeː	0.062
ˈɔˀ	j	0.052
ˈɔː	ˈɒː	1.0
ˈɛ	ˈæ	0.399
ˈɛ	ˈɑ	0.187
ˈɛ	ˈœ	0.135
ˈɛ	ˈɛ	0.107
ˈɛ	ˈɔ	0.093
ˈɛ	-	0.06
ˈɛˀ	ˈeː	0.455
ˈɛˀ	ˈɑ	0.294
ˈɛˀ	ˈiə̯	0.251
ˈɛː	ˈøː	0.636
ˈɛː	ˈeː	0.364
ˈʌ	ˈoː	0.343
ˈʌ	ˈuə̯	0.192
ˈʌ	ˈɪ	0.15
ˈʌ	ˈɑ	0.126
ˈʌ	ˈɛː	0.126
ˈʌˀ	ˈoː	1.0
